0:0:0:0:0:0:0:1 - - [11/May/2022:10:22:21 +0900] "GET /FunWeb/member/joinIdCheck.jsp?userid=kims HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [11/May/2022:10:22:40 +0900] "GET /FunWeb/member/joinIdCheck.jsp?userid=kims HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [11/May/2022:10:22:46 +0900] "GET /FunWeb/member/joinIdCheck.jsp?userid=kims HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [11/May/2022:10:22:50 +0900] "GET /FunWeb/member/joinIdCheck.jsp?userid=kimsd HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [11/May/2022:10:22:52 +0900] "GET /FunWeb/member/joinIdCheck.jsp?userid=kim HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [11/May/2022:10:45:19 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [11/May/2022:10:45:20 +0900] "GET /FunWeb/script/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [11/May/2022:10:45:43 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [11/May/2022:10:50:12 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [11/May/2022:10:50:12 +0900] "GET /FunWeb/script/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2022:10:51:12 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [11/May/2022:10:52:42 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [11/May/2022:10:52:42 +0900] "GET /FunWeb/script/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2022:10:53:02 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [11/May/2022:10:58:19 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [11/May/2022:10:58:19 +0900] "GET /FunWeb/script/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2022:10:58:58 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [11/May/2022:11:22:38 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [11/May/2022:11:22:38 +0900] "GET /FunWeb/script/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2022:11:23:10 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [11/May/2022:11:23:10 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [11/May/2022:11:23:11 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [11/May/2022:11:23:11 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [11/May/2022:11:23:11 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [11/May/2022:11:23:11 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [11/May/2022:11:23:16 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [11/May/2022:11:24:05 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [11/May/2022:11:24:40 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [11/May/2022:11:25:40 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [11/May/2022:11:26:52 +0900] "GET /FunWeb/jQuery/test1.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [11/May/2022:11:27:59 +0900] "GET /FunWeb/jQuery/test2.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [11/May/2022:11:27:59 +0900] "GET /FunWeb/script/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2022:11:31:35 +0900] "GET /FunWeb/jQuery/test2.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [11/May/2022:11:31:35 +0900] "GET /FunWeb/jQuery/6.jgp HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [11/May/2022:11:31:49 +0900] "GET /FunWeb/jQuery/test2.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [11/May/2022:11:31:49 +0900] "GET /FunWeb/jQuery/6.jgp HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [11/May/2022:11:32:19 +0900] "GET /FunWeb/jQuery/test2.jsp HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [11/May/2022:11:32:19 +0900] "GET /FunWeb/jQuery/6.jpg HTTP/1.1" 200 7820
0:0:0:0:0:0:0:1 - - [11/May/2022:11:32:59 +0900] "GET /FunWeb/jQuery/test2.jsp HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [11/May/2022:11:32:59 +0900] "GET /FunWeb/script/jquery-3.6.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2022:11:33:18 +0900] "GET /FunWeb/jQuery/test2.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [11/May/2022:11:33:18 +0900] "GET /FunWeb/jQuery/7.jpg HTTP/1.1" 200 16824
0:0:0:0:0:0:0:1 - - [11/May/2022:11:36:02 +0900] "GET /FunWeb/jQuery/test2.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [11/May/2022:11:36:13 +0900] "GET /FunWeb/jQuery/test2.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [11/May/2022:11:37:41 +0900] "GET /FunWeb/jQuery/test2.jsp HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [11/May/2022:11:42:59 +0900] "GET /FunWeb/jQuery/test3.jsp HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [11/May/2022:11:42:59 +0900] "GET /FunWeb/script/jquery-3.6.0.js HTTP/1.1" 304 -
